# obsid ra dec l b teff logg feh rv Mgb MK MKerr_low MKerr_up AK K dist disterr_low disterr_up Z R r_gc lnnu
43414010 77.39334 +38.49662 167.89811 -0.89747 4197 1.46 -2.07 -47 0.61801 -4.94 0.48 0.64 0.481 8.865 4.62 1.18 1.14 -0.05 12.56 12.56 -8.71
350208041 231.56404 +32.67740 51.90865 +56.18012 4607 1.06 -2.27 -227 0.17169 -4.50 0.52 0.60 0.084 11.507 15.29 3.69 4.14 12.73 7.24 14.65 -14.95
235307039 230.91179 +7.24823 11.18513 +48.82916 4781 1.62 -2.25 -214 0.63560 -3.56 0.70 0.74 0.082 9.520 3.98 1.15 1.51 3.02 5.45 6.24 -10.73
347714155 270.13583 +7.22898 33.66370 +14.58639 4261 0.56 -2.05 -166 0.40050 -5.56 0.10 0.16 0.160 11.300 21.88 1.55 1.03 5.54 15.18 16.16 -11.69
234109210 224.09511 +18.50723 22.87421 +60.03865 4694 1.43 -2.21 -101 0.48552 -3.94 0.76 0.88 0.138 10.290 6.58 2.19 2.76 5.73 5.13 7.69 -11.01
157604152 10.05217 +27.49021 119.87976 -35.31498 4723 1.49 -2.31 -93 0.64484 -3.90 0.58 0.62 0.148 8.522 2.85 0.71 0.87 -1.62 9.38 9.52 -9.40
327111044 135.92722 +50.12981 168.66886 +41.39633 4589 1.02 -2.38 -127 0.73537 -4.38 0.64 0.84 0.058 10.817 10.66 3.42 3.65 7.08 15.92 17.42 -14.79
108909031 106.50003 +24.78549 191.98619 +14.03203 4705 1.46 -2.29 199 0.67433 -3.58 0.82 0.88 0.146 11.353 9.07 3.02 4.16 2.23 16.70 16.85 -11.22
296308069 142.54297 +2.72555 230.84738 +36.11007 4766 1.55 -2.38 96 0.61340 -3.66 0.62 0.66 0.079 10.468 6.45 1.69 2.13 3.83 11.99 12.59 -11.33
121909136 200.58528 +19.25208 346.56380 +79.40135 4722 1.51 -2.19 95 0.56384 -3.66 0.90 1.14 0.050 12.315 15.31 6.25 7.86 15.07 5.30 15.98 -12.90
