# obsid ra dec l b teff logg feh rv Mgb MK MKerr_low MKerr_up AK K dist disterr_low disterr_up Z R r_gc lnnu
341814196 262.35049 +20.30015 43.18757 +26.78489 4596 1.12 -2.31 -53 0.57266 -4.56 0.46 0.52 0.108 12.833 28.64 6.10 6.76 12.93 20.48 24.22 -14.07
152909088 191.24242 +58.34420 124.56846 +58.76349 4682 1.36 -2.26 -73 0.64036 -4.20 0.66 0.80 0.138 11.033 10.45 3.22 3.71 8.96 11.94 14.93 -13.61
51109062 226.81171 +28.11847 42.81837 +59.99937 4422 0.77 -2.21 -333 0.53872 -5.12 0.30 0.46 0.098 10.568 13.12 2.50 1.94 11.39 5.48 12.64 -13.71
139408086 204.29283 +36.11773 78.53947 +76.76780 4478 0.87 -2.19 -248 -0.03803 -4.94 0.38 0.52 0.090 10.234 10.39 2.21 1.99 10.15 7.88 12.85 -13.53
8710058 38.10970 -2.64809 171.89828 -55.60475 4614 1.12 -2.36 -162 0.33023 -4.06 0.88 1.18 0.069 12.930 24.22 10.16 12.10 -19.96 21.63 29.44 -15.34
266915033 69.67738 +17.27926 180.76323 -19.24865 4392 0.62 -2.37 -64 0.44661 -5.28 0.18 0.28 0.210 13.233 45.77 5.54 3.96 -15.06 51.21 53.38 -16.65
146512214 250.08403 +18.24190 36.09664 +36.89256 4474 0.88 -2.28 -319 0.76872 -4.78 0.48 0.66 0.140 11.020 13.55 3.55 3.35 8.16 6.43 10.39 -13.47
49706101 222.17123 +28.88282 43.72731 +64.12638 4542 1.08 -2.24 -208 0.50499 -4.50 0.60 0.74 0.135 9.639 6.32 1.83 2.01 5.71 6.30 8.51 -13.26
335615033 161.38676 +3.75301 245.26879 +51.93202 4489 0.92 -2.38 120 0.60896 -5.12 0.24 0.34 0.132 10.043 10.14 1.47 1.19 8.01 12.04 14.46 -12.91
309508088 172.78963 +22.60103 222.49410 +71.25993 4627 1.20 -2.39 -9 0.80366 -4.46 0.54 0.64 0.126 13.128 31.08 7.93 8.77 29.46 16.78 33.90 -16.84
309605007 199.24022 +17.63474 336.06827 +78.82807 4405 0.76 -2.38 33 0.44821 -5.32 0.14 0.22 0.062 12.295 32.40 3.12 2.16 31.81 3.41 31.99 -14.82
346013172 208.20631 +39.30260 80.42826 +72.35501 4386 0.64 -2.35 -268 0.29523 -5.36 0.14 0.20 0.073 9.606 9.52 0.84 0.63 9.10 8.04 12.14 -12.85
96205204 184.28452 +4.25404 281.74572 +65.70500 4623 1.32 -2.31 272 0.66851 -4.30 0.66 0.84 0.129 11.418 13.12 4.21 4.66 11.98 8.69 14.80 -14.41
32206216 179.95546 +56.89576 136.56802 +58.84507 4604 1.23 -2.06 -15 0.46193 -4.14 0.84 1.06 0.102 12.244 18.05 6.97 8.52 15.47 16.11 22.34 -15.33
32115045 141.54782 +18.03735 212.58046 +42.07990 4677 1.46 -2.32 190 0.60052 -4.08 0.76 0.92 0.078 11.813 14.55 5.03 6.10 9.78 18.06 20.54 -13.22
221413182 155.15746 +14.27218 225.32488 +52.64012 4492 0.99 -2.29 45 0.73255 -4.86 0.42 0.56 0.202 11.317 15.67 3.56 3.34 12.48 16.17 20.42 -15.06
143405022 202.42061 +46.46120 104.09661 +69.24344 4301 0.61 -1.76 -68 0.64505 -5.44 0.20 0.30 0.135 10.380 13.71 1.77 1.32 12.85 10.32 16.48 -13.90
341611022 136.69928 +16.82368 211.88492 +37.32764 4572 1.15 -2.24 111 0.65433 -4.82 0.30 0.36 0.129 8.749 4.87 0.74 0.72 2.98 11.48 11.86 -11.40
182915085 5.73511 +4.90068 109.73181 -57.23889 4621 1.26 -2.28 -17 0.62264 -4.38 0.62 0.76 0.128 11.987 17.70 5.23 5.85 -14.85 14.40 20.69 -15.88
173113133 33.89763 +27.90306 144.74654 -31.37926 4250 0.89 -2.35 -112 -0.26218 -4.46 0.86 2.48 0.035 10.563 9.95 6.77 4.83 -5.15 15.72 16.54 -13.46
29313118 170.00920 +27.76235 205.84317 +69.74065 4627 1.37 -1.99 35 1.20704 -4.08 0.68 0.76 0.114 12.251 17.52 5.17 6.44 16.46 13.72 21.43 -14.45
259915228 323.56110 +15.80495 68.85650 -25.73720 4582 1.20 -2.34 -96 0.35991 -4.42 0.56 0.66 0.129 10.915 10.99 2.88 3.23 -4.75 10.24 11.29 -13.37
200415136 162.78522 +33.20626 192.37465 +63.39695 4535 1.11 -2.29 174 0.55745 -4.96 0.32 0.38 0.159 9.525 7.33 1.18 1.16 6.58 11.23 13.02 -12.18
296508205 161.58026 +16.99098 225.71097 +59.39225 4612 1.21 -2.35 70 0.53446 -4.66 0.38 0.44 0.105 9.744 7.24 1.33 1.39 6.26 10.90 12.57 -11.90
343403249 153.78749 +42.23041 177.17597 +54.89333 4588 1.19 -2.31 -63 0.65892 -4.74 0.36 0.44 0.088 11.126 14.31 2.62 2.58 11.73 16.22 20.02 -14.74
282509161 183.91521 +10.83325 273.90134 +71.65898 4664 1.37 -2.26 59 0.59316 -4.34 0.50 0.56 0.093 9.978 7.00 1.59 1.81 6.67 8.15 10.53 -13.10
336811180 236.10678 +10.53113 19.25804 +46.11153 4681 1.38 -2.32 -51 0.55634 -4.30 0.46 0.50 0.062 12.047 18.08 3.72 4.26 13.05 5.63 14.22 -14.54
14114015 153.63914 +31.89653 195.32736 +55.72223 4476 1.07 -2.25 -21 0.69461 -4.42 0.72 1.04 0.073 12.295 21.30 8.10 8.37 17.62 19.82 26.53 -14.98
333306030 196.72327 +17.25671 323.61535 +79.50248 4362 0.59 -2.39 30 0.56079 -5.40 0.10 0.18 0.117 11.416 21.87 1.74 1.03 21.53 5.34 22.19 -14.57
327414150 168.07961 +41.33427 171.58560 +65.21523 4619 1.25 -2.20 34 0.42885 -4.50 0.46 0.50 0.090 11.394 14.48 2.98 3.42 13.17 14.03 19.25 -14.39
332714110 180.17943 +29.81990 196.37723 +78.54035 4480 0.85 -2.40 -99 0.70016 -5.22 0.18 0.26 0.067 10.132 11.40 1.29 0.99 11.20 10.19 15.15 -13.16
212909226 203.80849 -1.18120 325.10561 +59.79168 4601 1.24 -2.22 101 0.66478 -4.32 0.64 0.74 0.100 9.235 4.91 1.42 1.68 4.27 6.14 7.48 -11.08
308813110 197.63327 +38.88285 105.39084 +77.58762 4660 1.36 -2.14 -70 0.66577 -4.38 0.46 0.50 0.067 10.339 8.52 1.75 2.01 8.35 8.67 12.03 -12.59
267507108 352.86096 +6.95788 90.44524 -50.79834 4599 0.96 -2.35 -27 0.61974 -4.66 0.46 0.56 0.104 13.666 44.10 10.03 10.41 -34.15 29.06 44.84 -16.19
49302118 207.85992 -3.63794 330.43997 +55.99570 4584 1.24 -2.23 91 0.35027 -4.08 0.80 0.94 0.098 11.601 13.08 4.60 5.83 10.87 3.96 11.57 -13.95
298106095 189.83249 +32.69127 147.44125 +83.85016 4604 1.19 -2.26 -25 0.50265 -4.42 0.56 0.66 0.084 12.733 25.94 6.80 7.63 25.81 10.45 27.85 -15.81
105015169 37.06807 +4.67009 162.93790 -50.52491 4630 1.10 -2.25 -88 -0.26624 -4.14 0.84 1.02 0.140 13.720 34.99 13.11 16.52 -26.98 29.98 40.33 -16.52
315006104 226.58179 +35.58106 57.81191 +60.15164 4547 1.10 -2.25 -115 0.74792 -4.72 0.42 0.54 0.107 11.047 13.55 2.98 2.89 11.78 7.21 13.81 -13.40
171612231 22.24783 -0.11974 142.93878 -61.52414 4490 0.96 -2.26 -168 0.48303 -4.66 0.56 0.74 0.121 12.926 31.11 8.99 9.15 -27.32 21.76 34.93 -16.35
152809088 191.24242 +58.34420 124.56846 +58.76349 4682 1.44 -2.26 -74 0.62665 -4.02 0.76 0.92 0.138 11.033 9.62 3.32 4.03 8.25 11.58 14.22 -12.78
205207125 163.19209 -3.60031 255.34733 +48.00150 4487 0.97 -2.38 -36 0.68915 -5.08 0.26 0.36 0.052 11.412 19.41 2.96 2.47 14.45 16.89 22.22 -13.37
14214141 163.80136 +29.78897 200.07158 +64.38240 4328 1.00 -2.38 51 1.22515 -4.84 0.48 0.70 0.047 14.005 57.50 15.84 14.22 51.87 32.49 61.21 -19.23
340215119 237.55310 +38.37295 61.34969 +51.17565 4447 0.71 -2.30 -130 0.49248 -5.22 0.22 0.32 0.048 11.289 19.60 2.69 2.09 15.30 10.99 18.83 -15.28
31704104 153.47116 +40.40611 180.37272 +55.01851 4606 1.25 -2.20 122 0.73661 -4.16 0.78 1.00 0.116 12.165 17.45 6.44 7.54 14.33 18.01 23.01 -15.33
333401222 213.56049 +43.88102 83.46621 +66.36839 4690 1.35 -2.33 -178 0.49399 -4.24 0.56 0.62 0.076 11.913 16.42 4.08 4.83 15.07 9.76 17.96 -14.72
104116018 174.83928 +14.21798 246.86276 +68.81244 4520 1.16 -2.33 74 0.80554 -4.58 0.58 0.76 0.112 11.436 15.16 4.48 4.64 14.17 11.34 18.14 -14.59
173308099 343.68585 +7.74651 79.73840 -45.11593 4446 0.85 -2.31 -147 0.67381 -5.12 0.28 0.42 0.098 11.493 20.09 3.53 2.76 -14.21 14.99 20.65 -13.62
236706105 202.13908 +2.24637 324.16116 +63.57774 4387 1.19 -2.16 -7 2.09470 -4.22 0.98 1.48 -0.017 12.161 19.03 9.41 10.86 17.07 5.09 17.81 -13.97
46016072 217.62820 +30.16075 46.76130 +68.09604 4514 0.97 -2.16 -18 0.28282 -4.76 0.46 0.60 0.055 10.369 10.35 2.50 2.44 9.63 6.05 11.37 -13.49
104801134 166.76089 +13.61377 236.72399 +62.14291 4480 1.01 -2.19 -72 0.61903 -4.90 0.42 0.60 0.076 12.575 30.18 7.29 6.44 26.71 19.67 33.17 -14.05
